"Ticker","Nome","Negócios","Última (R$)","Variação"
"PPLA11","PPLA","18","0,87","-3,33%"
"BMKS3","Monark","2","410,01","-2,38%"
"WLMM4","WLM","4.600","20,39","-0,78%"
"CEEB3","COELBA","2.600","37,50","+1,63%"
"FIEI3","Fica","1.100","16,65","+4,13%"
"EUCA3","Eucatex","400","18,80","+2,17%"
"HBTS5","Habitasul","200","28,10","+0,14%"
"PLAS3","Plascar","200","5,20","+0,00%"
"BRKM6","Braskem","3.000","7,85","+0,00%"
"SNSY3","Sansuy","600","11,45","+4,09%"
"MRSA5B","MRS Logística","300","24,50","+0,00%"
"DTCY3","Dtcom","300","2,90","+0,00%"
"CGAS3","Comgás","100","124,07","+2,53%"
"CEEB5","COELBA","100","36,80","-1,68%"
"RPAD3","Alfa Holdings","100","4,52","+0,22%"
"LUPA11","LUPA11","100","0,11","+0,00%"
"NORD3","Nordon","300","5,70","-1,72%"
"SOND6","Sondotécnica","200","50,01","+0,06%"
"CPLE5","Copel","200","12,00","+1,69%"
"BMIN3","Banco Mercantil de Investimentos","100","22,98","+4,45%"
"CEDO3","Cedro Têxtil","100","21,00","+0,00%"
"CRPG3","Tronox Pigmentos","100","17,99","+0,06%"
"BAUH4","Excelsior","500","86,99","-0,58%"
"MWET4","Wetzel","300","11,99","+2,48%"
"BDLL3","Bardella","300","8,30","+0,61%"
"PSVM11","PORTO VM","200","5,73","-5,29%"
"BALM3","Baumer","100","20,50","+0,00%"
"CLSC3","Celesc","500","100,30","-0,20%"
"PEAB4","Participações Aliança da Bahia","300","37,00","+1,93%"
"PATI4","Panatlântica","300","34,66","+10,00%"
"EKTR3","Elektro","100","45,00","+5,56%"
"PEAB3","Participações Aliança da Bahia","100","38,00","+0,00%"
"AFLT3","Afluente T","100","7,38","+4,24%"
"TKNO3","Tekno","100","193,95","+7,75%"
"WLMM3","WLM","100","23,99","-0,04%"
"CBEE3","Ampla Energia","100","12,50","-3,85%"
